"id","shoe_id"
"9dbcb887-7417-4a60-97c8-ed7387c9e1ba","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"03056bb7-e484-4a82-bde6-1658759de464","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"bee0ce13-9148-483f-90db-0f1e5633652c","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"24de2796-779d-43d5-9506-16464bf8b768","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"e6a78815-ea85-49f4-997d-6448808eb367","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"b4106207-63c9-43d3-9675-b30fa6d639a1","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"e366a926-2312-40b9-ab63-47a872c72c5e","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"987f781f-b875-44f1-a1a1-7acaebe09307","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"ec6060d5-717f-4654-93ba-60a2c86c9ec4","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"4f8bb27a-fb84-4bbd-8786-157af44e8f5d","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"7b85e2d2-ee2e-454a-b923-2443c4a1b6f2","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"515c60eb-3aa3-4293-8c6f-0844881af21c","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"c3ac8b80-7ef9-42a4-b549-6ff9612ff10a","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"1d9c8e96-8c7f-49c4-a444-cd13485e3a29","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"0dc8298f-4ae1-44fb-ba9e-d99d5cdf409a","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"6eb4c9db-1c6b-46e6-9fb4-bdadf0b7e96b","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"bdbea424-8f48-400f-8f1c-154a8c2e8854","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"7208433d-09b5-414d-bc42-4c0ac3c7ca97","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"04424410-cb66-4c84-8a54-16f5d6b8535c","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"055b86bd-145b-422b-86b9-3645741304af","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"20fc9beb-df04-4ef1-bf3f-3380530abbda","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"46ede971-a277-4c54-97fe-bd7cc6dc6858","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"9c8d99a6-9bdb-4f05-bd32-4d63f4f48383","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"2b4c48b2-e7fb-4a3e-9fbd-bc5b2b3ce20a","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"cec16df3-053a-4160-8143-74516bf86664","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"825afd67-8dc2-40f6-a9b5-b30db9924f74","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"ed44bf01-21bc-4fa0-89d9-30ec82a8b354","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"45110de3-6040-4e31-a673-2909b5cb5acc","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"0812aecc-e6de-430b-ad50-a2ed4cb35775","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"e590ea62-86da-42a2-8b8b-93be818179a1","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"b613e002-a919-4ec2-b558-6e9bb1d786cb","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"e7550034-0208-4de5-88b2-7eefc686f0ae","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"bf91fa35-715b-4cf6-b32e-a939a60e53f9","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"31f56c30-1f88-45d8-b2df-7ddbfd6372fd","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"143fb052-5291-4905-b9a4-3c1006c76413","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"fc129243-5285-409f-8072-a59642157a4c","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"810401b4-1a45-4f74-9224-aa64c79c1a26","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"08b88388-f3d8-4fd9-bf9a-fa1727a3afa3","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"2d5a5337-e46c-469d-bd10-5f6c3ab77d7f","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"5f46b8f3-c839-492c-9a07-0acec25116d7","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"0dca1b40-9410-4971-b09d-daaf2e35f8c5","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"a23810cb-370c-450c-ad7e-ecaab314d746","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"adce914a-f7c0-426d-a1b0-10fd8e986825","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"72259137-2266-43b2-a01b-88a6a1bda1f6","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"26445579-b81a-4658-a7fc-e2ad5b3f8e8f","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"bd6b7a3b-15eb-4080-8567-ec955a9a5494","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"9b4c09ca-846f-44fa-893b-abccbc761385","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"c1cdec66-ab1e-4bf8-a87c-99c18a73b04d","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"a10e4632-e21d-4155-9498-5e7d224494d3","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"3eb02b28-b982-409a-bdbe-3803aa7bd2a4","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"48159652-11f8-4166-9f91-76b41f4767a3","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"a33ffecc-9351-4f1c-a71e-f1c1ebd6d3b0","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"94363ab9-fb6b-4fb8-8d4c-1be6bb8d7798","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"1e062397-2202-4ca0-87e6-1a89507e1f48","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"98c1a9ef-d593-4c77-9539-90a9f68dd274","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"7d4ba78e-e22d-4557-8628-5ee213519ea2","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"f441a72e-5e10-468a-a6b3-98cdf242a0de","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"5202cf5d-f1c4-44a4-a912-a19cb401a337","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"908205ab-4ef6-4329-bd99-f923142dc577","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"c62aef01-93db-420f-acc6-7606a97013f5","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"db177f90-9f72-47ff-95f3-44740d087451","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"f5dfed9a-09db-4dbe-9da4-a4ad95d8934f","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"da9d7aa5-1727-4376-adec-d7370a86f44b","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"e144fcc8-e50b-4447-b88d-0ca16279937a","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"2386600b-5714-48c1-8c9b-d2530f5b7af0","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"92a08f83-8b14-4833-bf47-4ca01e6ee672","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"0633f3cc-c2d9-4dc7-9e24-2a74d7ae56ae","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"f76ff0f3-bc17-4c01-b284-610497e74261","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"5188f984-b52a-4773-90e5-dfb4c1fd09b2","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"5e3910c6-e7aa-454b-b67f-7fa9c0023aff","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"d81039a4-a114-40fb-bf9c-125df4f9016b","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"e0bbe2f0-e5f1-43ce-b9e4-d16e53b4214b","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"bc9f52d5-dbd5-4a8c-a507-54a8be5d969b","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"662cdbea-e7e8-4357-b182-afb977abf60e","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"67bdcd4c-d6e0-44c3-a633-a4a6711bfb82","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"75afc3e2-e05e-40fb-bb54-dd20c308b8ed","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"745f75fa-4666-4ffb-95da-4f03b2ef8367","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"94896735-3a7f-4a0e-af9a-0116c3d41552","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"55bb823a-e2d0-4781-a1f6-a650adb91c58","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"168d5878-2f32-4059-8ac4-c6e9e3eea02a","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"57a3549e-8934-47aa-ab1c-0235ca0855f4","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"4274e796-a86a-4756-8d87-96c97bafdda5","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"9559d474-507b-416a-9f57-6d42e478fd30","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"4ad87cd5-319b-4acc-90af-bd38041160ee","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"a399f233-68a2-4185-80e1-3358c21eda23","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"af27c07f-08c3-4507-9697-31ef6086a909","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"4c3c3bf1-b134-4fcd-8f7c-8cc4dc9b6f9c","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"b930907d-59cb-4ebe-bf88-9206b9ddc9a5","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"6abb8aad-30fc-4ec2-a595-faf9432a027d","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"ab97e76e-d21a-4df0-aa92-b475b3ee9c9e","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"dfb9765e-251c-4558-9822-a94aa87bcc1e","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"7029625b-1970-440f-95da-a2d7f9828315","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"ef46191b-7f74-4527-ac25-eaf7ea10e649","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"68566576-c720-4111-87dc-e0426f5d87d3","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"97054ad3-e2c1-48c2-a92e-622a33497789","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"08a112dc-e9e7-4840-a54b-20ae6fd8df76","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"54e7a47d-59b1-47fd-a44c-054b8efd26b8","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"96a61ce0-c70d-47dc-be02-6b54601887bd","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"c7335609-9aab-4e96-bd5d-5eec2780c77e","7331b8b2-1b37-406b-83fd-029e5fbe39d4"
"cd50b333-a3e8-4d22-9cf1-b6111c2f00ff","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"aacc430f-08f4-406f-a9ea-8b8764edc787","97b908ed-4d81-43c3-a389-b96dbf780f82"
"903ff635-ced6-4f56-b4eb-f90ca9956ee7","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"118bf919-556d-4c00-b43d-577ea4c2f484","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"a9213b2c-8ae9-4caf-8330-8f6622efc3af","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"fe3b24c4-c24c-4683-8bf5-4b7f83a7e24c","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"2506abfa-d5ac-4bfd-9d3d-ea4fd82bde01","97b908ed-4d81-43c3-a389-b96dbf780f82"
"04b49f5d-f337-459c-ab2a-3fd0de2f4d78","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"4fda76d7-2422-4dc4-8fad-c6a8fd004882","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"a698b765-3688-4c09-a769-9e80139271b6","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"a8f85775-992d-4ce0-b6a9-ca870499bd8c","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"e906d65c-a030-4d1f-b1ed-c656c4eb92ff","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"ae79b32a-0e1c-4a94-988a-8f10ec43b79e","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"14003bf0-80b9-403d-a543-9f037f15bc88","d3b929c4-2e81-4068-81aa-6181a9ee6867"
"124db839-7c6a-41ca-9414-fa3d4623b9a6","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"08d6a0d7-9bfb-46e2-be33-69672177064f","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"74eae5d4-6b73-4866-8f03-0aa7a7077c9b","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"7286f4be-43cb-476b-ae1f-d5eab5ccd192","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"07dd0ccf-1878-4a3c-9eda-b584c392eeb2","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"cf71ddb0-4ccc-4a58-9016-3f0c269adf34","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"ad303e08-708e-476a-a170-db89d8dab8a7","d11ddad2-28cd-4ab9-81d3-a4fef312877d"
"b159ec58-40cd-4190-8257-c878857dfc46","ade91c18-10fb-44bb-91e1-eed3820dbbc4"
"d9aa2aff-f717-4493-af62-1f6c912daeb2",NA
